ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON
14199;1309;-38.0998285219;145.3226182131;-38.0998467201;145.3227689199
14200;1309;-38.0998467201;145.3227689199;-38.0998816566;145.3230582485
14201;1309;-38.0998816566;145.3230582485;-38.101760134;145.3228653082
14202;1309;-38.101760134;145.3228653082;-38.1017507612;145.3227892814
14203;1309;-38.1017507612;145.3227892814;-38.1017490212;145.3227728794
14204;1309;-38.1017490212;145.3227728794;-38.1017477861;145.322756435
14205;1309;-38.1017477861;145.322756435;-38.1017470646;145.3227399241
14206;1309;-38.1017470646;145.3227399241;-38.1017468043;145.3227196062
14207;1309;-38.1017468043;145.3227196062;-38.1017471621;145.3227068615
14208;1309;-38.1017471621;145.3227068615;-38.1017479808;145.3226903565
14209;1309;-38.1017479808;145.3226903565;-38.1017562655;145.3225652672
14210;1309;-38.1017562655;145.3225652672;-38.1017665804;145.3224095215
14211;1310;-38.0958697076;145.3737166396;-38.0959369756;145.3736979373
14212;1310;-38.0959369756;145.3736979373;-38.097133675;145.3733652165
14213;1310;-38.097133675;145.3733652165;-38.0971336768;145.373365216
14214;1310;-38.0971336768;145.373365216;-38.0972421136;145.3733350665
14215;1311;-38.0274308427;145.3129092906;-38.0275000733;145.3128964101
14216;1311;-38.0275000733;145.3128964101;-38.02750073;145.312896288
14217;1311;-38.02750073;145.312896288;-38.0282522059;145.3127564729
14218;1311;-38.0282522059;145.3127564729;-38.0290894227;145.3126006973
14219;1311;-38.0290894227;145.3126006973;-38.0291574393;145.3125880417
14220;1312;-38.0738615645;145.3221791953;-38.073873339;145.3222691481
14221;1312;-38.073873339;145.3222691481;-38.0740490442;145.3236115357
14222;1312;-38.0740490442;145.3236115357;-38.0740607717;145.3237011387
14223;1313;-38.1151248194;145.3292752957;-38.1151381422;145.3293764529
14224;1313;-38.1151381422;145.3293764529;-38.1151381499;145.3293765114
14225;1313;-38.1151381499;145.3293765114;-38.115241845;145.3301638716
14226;1313;-38.115241845;145.3301638716;-38.1153188779;145.3308181273
14227;1313;-38.1153188779;145.3308181273;-38.1153514679;145.3310655758
14228;1313;-38.1153514679;145.3310655758;-38.1153825749;145.3313017862
14229;1313;-38.1153825749;145.3313017862;-38.1153572303;145.3311093323
14230;1313;-38.1153572303;145.3311093323;-38.1153514679;145.3310655758
14231;1313;-38.1153514679;145.3310655758;-38.1166845889;145.3307843022
14232;1313;-38.1166845889;145.3307843022;-38.1166845783;145.3307843044
14233;1313;-38.1166845783;145.3307843044;-38.1167644124;145.3307674599
14234;1314;-37.9930507548;145.3115792843;-37.9931672933;145.3115542772
14235;1314;-37.9931672933;145.3115542772;-37.9945175287;145.3112645344
14236;1315;-38.0134220819;145.3013564101;-38.0134578333;145.3013088406
14237;1315;-38.0134578333;145.3013088406;-38.0134814371;145.3012656067
14238;1315;-38.0134814371;145.3012656067;-38.013500105;145.3012186845
14239;1315;-38.013500105;145.3012186845;-38.0135180872;145.3011433376
14240;1315;-38.0135180872;145.3011433376;-38.0135234184;145.301064934
14241;1315;-38.0135234184;145.301064934;-38.0135208036;145.3007070221
14242;1315;-38.0135208036;145.3007070221;-38.0135208033;145.3007069878
14243;1315;-38.0135208033;145.3007069878;-38.0135201832;145.3006221208
14244;1316;-38.0386829126;145.25258624;-38.0387289923;145.252925425
14245;1316;-38.0387289923;145.252925425;-38.0387396574;145.2530039303
14246;1317;-38.0307260267;145.3442005439;-38.0308707868;145.3439789605
14247;1318;-38.2139168647;145.381594954;-38.2140072253;145.3814753764
14248;1318;-38.2140072253;145.3814753764;-38.2140513109;145.3814170339
14249;1318;-38.2140513109;145.3814170339;-38.2161494566;145.3786402339
14250;1319;-38.0621615259;145.3609583258;-38.0621781899;145.3610950998
14251;1319;-38.0621781899;145.3610950998;-38.0622778854;145.3619134048
14252;1319;-38.0622778854;145.3619134048;-38.0625150217;145.3638599761
14253;1319;-38.0625150217;145.3638599761;-38.0625289917;145.3639263047
14254;1319;-38.0625289917;145.3639263047;-38.0625413216;145.363969335
