Location Coordinate;Feature Extent;Postcode;Projection;Latitude Coordinate;Longitude Coordinate;Location;Bin Type;Bin Type (other);Number of Bins;Bin Size;Bin Size (other);Waste Type;Waste Type (other);Bin Colours;Bin Colours (other);Stand Condition;Stand Condition - other;Plate Fitting;Locking;Locking - other;Key Requirement;Bin Condition;Bin Condition - other;Date;Easting Coordinate;Northing Coordinate;GISFid;Google Maps Direction;Property_Address;Suburb;Last Modification Date;Council Ward
-37.9844796053, 145.232721102;"{""coordinates"": [145.232721102, -37.9844796053], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.9844796052961;145.23272110199684;;Free Standing;;2;240lt;;General,Recycle;;Blue,Green;;;;;;;no;2- Average;;2022-08-23;344799;5794435;1481;https://www.google.com.au/maps/dir//-37.9844796052961,145.23272110199684/@your+location,17z/data=!4m2!4m1!3e0;182 Kidds Rd Doveton 3177;Doveton;2025-05-26;Waratah
-38.0273649842, 145.304410262;"{""coordinates"": [145.304410262, -38.0273649842], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.02736498419627;145.30441026199733;;Cage;;2;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-22;351182;5789793;1484;https://www.google.com.au/maps/dir//-38.02736498419627,145.30441026199733/@your+location,17z/data=!4m2!4m1!3e0;6 Rebound Ct Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.0267303065, 145.30473548;"{""coordinates"": [145.30473548, -38.0267303065], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.02673030649629;145.30473547999736;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-22;351209;5789864;1485;https://www.google.com.au/maps/dir//-38.02673030649629,145.30473547999736/@your+location,17z/data=!4m2!4m1!3e0;1 Sylvia Lane Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.0262989422, 145.303628888;"{""coordinates"": [145.303628888, -38.0262989422], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.02629894219626;145.30362888799732;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-22;351111;5789910;1488;https://www.google.com.au/maps/dir//-38.02629894219626,145.30362888799732/@your+location,17z/data=!4m2!4m1!3e0;7 Webb St Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.025561492, 145.304158805;"{""coordinates"": [145.304158805, -38.025561492], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.025561491996264;145.30415880499734;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;;351156;5789993;1491;https://www.google.com.au/maps/dir//-38.025561491996264,145.30415880499734/@your+location,17z/data=!4m2!4m1!3e0;37 Webb St Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.025605958, 145.304520987;"{""coordinates"": [145.304520987, -38.025605958], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.02560595799627;145.30452098699735;;Cage;;1;240lt;;General;;Green;;1- Poor;;;Missing;;no;3- Good;;2022-09-02;351188;5789988;1492;https://www.google.com.au/maps/dir//-38.02560595799627,145.30452098699735/@your+location,17z/data=!4m2!4m1!3e0;39 Webb St Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.0262156576, 145.304520149;"{""coordinates"": [145.304520149, -38.0262156576], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.02621565759628;145.3045201489974;;Cage;;1;240lt;;General;;Green;;2- Average;;;Working;;yes;3- Good;;2022-08-22;351189;5789921;1495;https://www.google.com.au/maps/dir//-38.02621565759628,145.3045201489974/@your+location,17z/data=!4m2!4m1!3e0;32 Webb St Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.0264380714, 145.304222591;"{""coordinates"": [145.304222591, -38.0264380714], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.02643807139628;145.3042225909974;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-22;351163;5789896;1496;https://www.google.com.au/maps/dir//-38.02643807139628,145.3042225909974/@your+location,17z/data=!4m2!4m1!3e0;18 Webb St Narre Warren 3805;Narre Warren;2025-05-26;Casuarina
-38.0273779342, 145.362274647;"{""coordinates"": [145.362274647, -38.0273779342], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.027377934196394;145.36227464699766;;Free Standing;;12;240lt;;General,Recycle;;Green,Yellow;;;;;;;no;3- Good;;2022-08-22;356261;5789883;1502;https://www.google.com.au/maps/dir//-38.027377934196394,145.36227464699766/@your+location,17z/data=!4m2!4m1!3e0;79-93 Manuka Rd Berwick 3806;Berwick;2025-05-26;Akoonah
-38.0509178204, 145.346869984;"{""coordinates"": [145.346869984, -38.0509178204], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.050917820396386;145.3468699839976;;Cage;;1;120lt;;General;;Green;;4- Very Good;;;Working;;yes;3- Good;;2022-08-22;354955;5787247;1505;https://www.google.com.au/maps/dir//-38.050917820396386,145.3468699839976/@your+location,17z/data=!4m2!4m1!3e0;24 Bemersyde Dr Berwick 3806;Berwick;2025-05-26;Akoonah
