Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-37.9963109998, 145.3265420131;"{""coordinates"": [145.3265420131, -37.9963109998], ""type"": ""Point""}";-37.996310999791646;145.32654201313463;Brundrett Road;2022;Between 50km/h and 60km/h;W;2022-02-22;353062;5793274;MGA2020 zone 55;3804;59.3;742;942;6.29;9.24;297
-37.9776940028, 145.2976030318;"{""coordinates"": [145.2976030318, -37.9776940028], ""type"": ""Point""}";-37.97769400281861;145.29760303179424;Reservoir Road;2022;Between 40km/h and 50km/h;W;2022-02-22;350483;5795294;MGA2020 zone 55;3804;44.8;206;235;7.37;9.46;299
-38.1269910008, 145.3481750311;"{""coordinates"": [145.3481750311, -38.1269910008], ""type"": ""Point""}";-38.1269910007677;145.34817503106004;Applejack Boulevard;2022;Between 40km/h and 50km/h;W;2022-02-22;355220;5778807;MGA2020 zone 55;3978;47.4;775;1017;10.43;7.48;343
-38.0914390034, 145.3429019996;"{""coordinates"": [145.3429019996, -38.0914390034], ""type"": ""Point""}";-38.091439003361664;145.34290199955592;Matterhorn Drive;2022;More than 60km/h;W;2022-02-22;354687;5782744;MGA2020 zone 55;3978;62.4;3621;4439;10.3;11.21;353
-38.1075350034, 145.321674996;"{""coordinates"": [145.321674996, -38.1075350034], ""type"": ""Point""}";-38.107535003384605;145.32167499596974;Haflinger Avenue;2022;Between 40km/h and 50km/h;W;2022-02-22;352858;5780924;MGA2020 zone 55;3978;45.8;1500;1810;3.15;21.34;354
-38.0956980054, 145.2899000365;"{""coordinates"": [145.2899000365, -38.0956980054], ""type"": ""Point""}";-38.0956980054455;145.289900036532;Bellarine Drive;2022;Between 40km/h and 50km/h;W;2022-02-22;350048;5782187;MGA2020 zone 55;3977;40.9;1590;1864;2.54;17.54;374
-38.1068200026, 145.2723210156;"{""coordinates"": [145.2723210156, -38.1068200026], ""type"": ""Point""}";-38.10682000263228;145.2723210155844;Fairbairn Road;2022;Between 50km/h and 60km/h;W;2022-02-22;348529;5780924;MGA2020 zone 55;3977;57.1;1600;1875;6.67;9.81;378
-38.1014180045, 145.2791090428;"{""coordinates"": [145.2791090428, -38.1014180045], ""type"": ""Point""}";-38.10141800453629;145.27910904282732;Duff Street;2022;Between 40km/h and 50km/h;W;2022-02-22;349113;5781535;MGA2020 zone 55;3977;44.0;1780;2259;4.84;9.04;379
-38.0837500029, 145.3182360324;"{""coordinates"": [145.3182360324, -38.0837500029], ""type"": ""Point""}";-38.08375000287382;145.31823603237197;Mountainview Boulevard;2022;Between 50km/h and 60km/h;W;2022-02-22;352509;5783558;MGA2020 zone 55;3977;53.7;2579;3503;3.84;8.82;389
-38.1372950043, 145.2941900244;"{""coordinates"": [145.2941900244, -38.1372950043], ""type"": ""Point""}";-38.137295004340665;145.29419002440451;Craig Road;2022;More than 60km/h;W;2022-02-22;350509;5777578;MGA2020 zone 55;3977;68.0;6845;8527;5.54;8.91;417
-38.1898090044, 145.3668280117;"{""coordinates"": [145.3668280117, -38.1898090044], ""type"": ""Point""}";-38.18980900441633;145.36682801166808;Lynes Road;2022;More than 60km/h;W;2022-02-22;356978;5771865;MGA2020 zone 55;3980;81.9;245;290;18.7;11.93;423
-38.1109350026, 145.3387570277;"{""coordinates"": [145.3387570277, -38.1109350026], ""type"": ""Point""}";-38.110935002559074;145.33875702772346;Thoroughbred Drive;2022;Between 50km/h and 60km/h;W;2022-05-19;354362;5780574;MGA2020 zone 55;3978;54.1;1125;1353;9.09;15.16;430
-38.0533240021, 145.3636960199;"{""coordinates"": [145.3636960199, -38.0533240021], ""type"": ""Point""}";-38.05332400206739;145.36369601986655;Soldiers Road;2022;Between 40km/h and 50km/h;W;2022-05-20;356436;5787006;MGA2020 zone 55;3807;48.9;6280;8078;29.49;8.77;456
-38.1215220023, 145.3237270014;"{""coordinates"": [145.3237270014, -38.1215220023], ""type"": ""Point""}";-38.121522002278034;145.32372700141434;Trickett Street;2022;Between 40km/h and 50km/h;W;2022-08-24;353066;5779376;MGA2020 zone 55;3978;40.6;314;407;5.95;9.02;498
-38.1237133338, 145.306446083;"{""coordinates"": [145.306446083, -38.1237133338], ""type"": ""Point""}";-38.12371333379051;145.30644608304712;"Casey Fields Boulevard
Casey Fields Boulevard";2019;Between 50km/h and 60km/h;W;2019-05-29;351555;5779105;MGA2020 zone 55;3977;59.0;1174;1493;4.1;12.32;685
-38.1004361343, 145.2958163946;"{""coordinates"": [145.2958163946, -38.1004361343], ""type"": ""Point""}";-38.10043613433737;145.29581639463078;Rochester Parade;2018;Between 40km/h and 50km/h;W;2018-07-10;350576;5781671;MGA2020 zone 55;3977;47.0;2821;3323;3.5;10.53;717
-38.0832775844, 145.2922925941;"{""coordinates"": [145.2922925941, -38.0832775844], ""type"": ""Point""}";-38.08327758440967;145.29229259411903;Rapallo Way;2019;Between 40km/h and 50km/h;W;2019-08-26;350232;5783569;MGA2020 zone 55;3977;44.3;604;735;1.6;13.03;738
-38.0996333873, 145.2612829831;"{""coordinates"": [145.2612829831, -38.0996333873], ""type"": ""Point""}";-38.09963338727081;145.26128298311394;Cirai Crescent;2018;Between 50km/h and 60km/h;W;2018-11-14;347546;5781704;MGA2020 zone 55;3977;52.1;639;846;2.98;9.1;739
-38.101416111, 145.2555609445;"{""coordinates"": [145.2555609445, -38.101416111], ""type"": ""Point""}";-38.101416111034354;145.2555609445007;Jacinta Drive;2020;Between 40km/h and 50km/h;W;2020-02-13;347048;5781497;MGA2020 zone 55;3977;41.4;200;263;1.1;9.13;741
-38.210479926, 145.3786119092;"{""coordinates"": [145.3786119092, -38.210479926], ""type"": ""Point""}";-38.21047992601165;145.37861190920017;Evans Street Tooradin;2018;Between 30km/h and 40km/h;W;2018-03-14;358050;5769590;MGA2020 zone 55;3980;37.2;262;333;11.53;13.21;765
-38.1474686019, 145.24558142;"{""coordinates"": [145.24558142, -38.1474686019], ""type"": ""Point""}";-38.14746860188625;145.24558142001186;Pearcedale Road;2018;More than 60km/h;W;2018-09-12;346270;5776370;MGA2020 zone 55;3977;66.2;4323;5266;6.94;10.84;805
-38.0037911022, 145.2926883787;"{""coordinates"": [145.2926883787, -38.0037911022], ""type"": ""Point""}";-38.00379110223029;145.2926883787013;Tinks Road;2019;More than 60km/h;W;2019-02-14;350105;5792390;MGA2020 zone 55;3805;60.0;5957;8134;6.9;9.36;809
-38.2025427861, 145.3457116545;"{""coordinates"": [145.3457116545, -38.2025427861], ""type"": ""Point""}";-38.20254278612459;145.34571165445607;Warneet Road;2019;More than 60km/h;W;2019-11-12;355153;5770420;MGA2020 zone 55;3980;99.8;2879;3664;8.44;9.46;813
-38.0503522067, 145.3573138374;"{""coordinates"": [145.3573138374, -38.0503522067], ""type"": ""Point""}";-38.050352206679634;145.3573138374175;Kangan Drive;2021;Between 50km/h and 60km/h;W;2021-04-20;355870;5787326;MGA2020 zone 55;3806;56.0;5064;6290;3.5;10.25;822
-38.0009375723, 145.2684810076;"{""coordinates"": [145.2684810076, -38.0009375723], ""type"": ""Point""}";-38.00093757232451;145.2684810076468;Frawley Road;2021;Between 50km/h and 60km/h;W;2021-03-26;347974;5792667;MGA2020 zone 55;3803;51.8;7940;9768;5.3;9.8;830
-38.025059313, 145.2667851914;"{""coordinates"": [145.2667851914, -38.025059313], ""type"": ""Point""}";-38.02505931297856;145.26678519142948;The Grange;2021;Between 50km/h and 60km/h;W;2021-03-17;347875;5789988;MGA2020 zone 55;3976;50.6;161;217;4.0;9.8;839
