Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-38.1264235197, 145.3234283591;"{""coordinates"": [145.3234283591, -38.1264235197], ""type"": ""Point""}";-38.126423519733706;145.32342835910737;Heybridge Street;2020;Between 40km/h and 50km/h;W;2020-02-13;353049;5778831;MGA2020 zone 55;3978;42.5;342;433;6.7;9.7;947
-38.009390291, 145.3054713155;"{""coordinates"": [145.3054713155, -38.009390291], ""type"": ""Point""}";-38.00939029102618;145.3054713155251;Columbia Road;2019;Between 50km/h and 60km/h;W;2019-03-30;351239;5791789;MGA2020 zone 55;3805;57.0;940;1239;3.4;9.2;963
-38.0387875354, 145.3105380315;"{""coordinates"": [145.3105380315, -38.0387875354], ""type"": ""Point""}";-38.03878753544934;145.31053803147404;Fleetwood Drive;2018;Between 50km/h and 60km/h;W;2018-06-23;351743;5788535;MGA2020 zone 55;3805;57.6;1219;1676;8.18;9.43;970
-37.9719701556, 145.2439894446;"{""coordinates"": [145.2439894446, -37.9719701556], ""type"": ""Point""}";-37.97197015564215;145.2439894446199;Chalcot Drive;2018;Between 50km/h and 60km/h;W;2018-11-13;345762;5795841;MGA2020 zone 55;3802;55.7;580;726;5.24;11.98;973
-38.2080480552, 145.2265986157;"{""coordinates"": [145.2265986157, -38.2080480552], ""type"": ""Point""}";-38.20804805518992;145.2265986157041;Queens Road;2019;More than 60km/h;W;2019-05-16;344735;5769616;MGA2020 zone 55;3912;81.0;2103;2476;7.9;10.3;992
-38.2153723771, 145.2461296177;"{""coordinates"": [145.2461296177, -38.2153723771], ""type"": ""Point""}";-38.215372377147006;145.24612961770455;Tyabb-Tooradin Rd;2019;More than 60km/h;W;2019-05-16;346461;5768835;MGA2020 zone 55;3912;97.0;5983;7354;11.9;11.21;993
-38.0282063708, 145.3154060463;"{""coordinates"": [145.3154060463, -38.0282063708], ""type"": ""Point""}";-38.02820637081606;145.31540604633054;Dunkinson Street;2018;Between 40km/h and 50km/h;W;2018-03-02;352149;5789717;MGA2020 zone 55;3805;43.8;158;200;3.86;14.0;998
-38.0740463889, 145.3160807564;"{""coordinates"": [145.3160807564, -38.0740463889], ""type"": ""Point""}";-38.07404638892534;145.31608075636848;William Thwaites Boulevard;2019;Between 50km/h and 60km/h;W;2019-03-19;352300;5784632;MGA2020 zone 55;3977;53.0;3432;4481;3.8;9.91;602
-38.0998633314, 145.2877269093;"{""coordinates"": [145.2877269093, -38.0998633314], ""type"": ""Point""}";-38.09986333136284;145.28772690930302;Barkly Street;2019;Between 40km/h and 50km/h;W;2019-11-12;349866;5781721;MGA2020 zone 55;3977;47.8;322;409;2.93;10.45;616
-38.1023484203, 145.2655356937;"{""coordinates"": [145.2655356937, -38.1023484203], ""type"": ""Point""}";-38.10234842028631;145.26553569370958;Duff Street;2019;Between 40km/h and 50km/h;W;2019-09-02;347925;5781409;MGA2020 zone 55;3977;47.6;6258;7785;2.9;9.87;618
-38.0237421831, 145.3478087842;"{""coordinates"": [145.3478087842, -38.0237421831], ""type"": ""Point""}";-38.023742183146446;145.34780878423754;Gardiner Street;2019;Between 50km/h and 60km/h;W;2019-03-13;354984;5790264;MGA2020 zone 55;3806;53.2;2517;2784;6.77;20.3;644
-38.0559627621, 145.2872485209;"{""coordinates"": [145.2872485209, -38.0559627621], ""type"": ""Point""}";-38.05596276212404;145.28724852092688;Kershaw Drive;2018;Between 30km/h and 40km/h;W;2018-05-10;349734;5786592;MGA2020 zone 55;3805;38.5;760;1027;7.33;10.91;658
-38.0544290802, 145.2881209407;"{""coordinates"": [145.2881209407, -38.0544290802], ""type"": ""Point""}";-38.05442908023781;145.28812094066157;Ormond Road Narre Warren South;2019;Between 50km/h and 60km/h;W;2019-11-12;349807;5786764;MGA2020 zone 55;3805;53.5;8771;11748;3.97;9.52;668
-38.0414056803, 145.3077979584;"{""coordinates"": [145.3077979584, -38.0414056803], ""type"": ""Point""}";-38.04140568025727;145.3077979583701;Player Drive;2019;Between 40km/h and 50km/h;W;2019-03-19;351507;5788240;MGA2020 zone 55;3805;49.0;836;1210;1.8;8.76;673
-38.0703916273, 145.3234467737;"{""coordinates"": [145.3234467737, -38.0703916273], ""type"": ""Point""}";-38.07039162733547;145.3234467736514;The Esplanade;2019;Between 50km/h and 60km/h;W;2019-02-26;352939;5785049;MGA2020 zone 55;3805;59.6;1587;2088;3.85;11.26;677
-38.0253092905, 145.3010121553;"{""coordinates"": [145.3010121553, -38.0253092905], ""type"": ""Point""}";-38.02530929045369;145.30101215530684;Valley Fair Dve;2020;Between 30km/h and 40km/h;W;2020-02-13;350879;5790016;MGA2020 zone 55;3805;39.8;805;978;3.8;13.39;681
-38.1347235334, 145.3337096655;"{""coordinates"": [145.3337096655, -38.1347235334], ""type"": ""Point""}";-38.134723533386826;145.33370966552903;Ballarto Road Bridge;2018;Less than 30km/h;W;2018-06-23;353967;5777926;MGA2020 zone 55;3978;28.1;1078;1311;9.74;10.83;683
-38.0602582102, 145.2431865873;"{""coordinates"": [145.2431865873, -38.0602582102], ""type"": ""Point""}";-38.06025821018766;145.2431865873444;Carbine Way;2019;Between 30km/h and 40km/h;W;2019-03-14;345877;5786043;MGA2020 zone 55;3975;37.2;987;1197;4.44;29.74;684
-37.9784641513, 145.2585639694;"{""coordinates"": [145.2585639694, -37.9784641513], ""type"": ""Point""}";-37.978464151341576;145.25856396942675;Raymond Mcmahon Blvd;2019;Between 40km/h and 50km/h;W;2019-12-06;347056;5795145;MGA2020 zone 55;3802;43.7;3345;4171;3.35;9.13;713
-38.0599213968, 145.2834067765;"{""coordinates"": [145.2834067765, -38.0599213968], ""type"": ""Point""}";-38.059921396808626;145.28340677652247;St Georges Road;2019;Between 50km/h and 60km/h;W;2019-05-17;349405;5786147;MGA2020 zone 55;3805;52.0;332;446;4.6;10.54;730
-38.100758901, 145.2568284237;"{""coordinates"": [145.2568284237, -38.100758901], ""type"": ""Point""}";-38.100758901000866;145.25682842371722;Jacinta Drive;2020;Between 40km/h and 50km/h;W;2020-02-13;347158;5781572;MGA2020 zone 55;3977;40.3;77;99;3.9;11.11;742
-38.1045597875, 145.2997570536;"{""coordinates"": [145.2997570536, -38.1045597875], ""type"": ""Point""}";-38.10455978751034;145.29975705361184;Stone Hill Circuit Cranbourne East;2019;Between 40km/h and 50km/h;W;2019-03-20;350930;5781220;MGA2020 zone 55;3977;40.0;167;214;3.7;9.35;748
-38.0412239568, 145.3539520597;"{""coordinates"": [145.3539520597, -38.0412239568], ""type"": ""Point""}";-38.04122395684135;145.35395205972398;Edrington Park Drive;2018;Between 50km/h and 60km/h;W;2018-06-23;355557;5788333;MGA2020 zone 55;3806;54.6;687;817;3.08;10.77;763
-38.1004090783, 145.2787677471;"{""coordinates"": [145.2787677471, -38.1004090783], ""type"": ""Point""}";-38.10040907828114;145.2787677470599;Fairfield Street;2019;Between 40km/h and 50km/h;W;2019-08-26;349081;5781646;MGA2020 zone 55;3977;48.5;1457;1856;3.5;12.13;767
-38.0998648595, 145.3255245195;"{""coordinates"": [145.3255245195, -38.0998648595], ""type"": ""Point""}";-38.09986485945647;145.32552451951503;Frankland Street;2021;Between 50km/h and 60km/h;W;2021-03-23;353180;5781782;MGA2020 zone 55;3978;53.5;1407;1940;5.3;8.35;876
-37.9894370033, 145.2696450186;"{""coordinates"": [145.2696450186, -37.9894370033], ""type"": ""Point""}";-37.9894370033305;145.26964501862489;George Bass Avenue;2022;Between 50km/h and 60km/h;W;2022-02-22;348052;5793945;MGA2020 zone 55;3802;55.2;302;377;3.46;9.41;904
-37.9835700018, 145.2496210319;"{""coordinates"": [145.2496210319, -37.9835700018], ""type"": ""Point""}";-37.983570001776165;145.24962103187437;Zachary Hicks Crescent;2022;Between 30km/h and 40km/h;W;2022-02-22;346281;5794564;MGA2020 zone 55;3802;35.9;79;106;7.56;8.74;905
-38.0892188341, 145.2736367052;"{""coordinates"": [145.2736367052, -38.0892188341], ""type"": ""Point""}";-38.089218834091504;145.27363670521993;Clairmont Avenue;2019;Between 50km/h and 60km/h;W;2019-02-26;348608;5782880;MGA2020 zone 55;3977;55.6;905;1163;2.97;12.73;924
-38.0698350648, 145.3452849216;"{""coordinates"": [145.3452849216, -38.0698350648], ""type"": ""Point""}";-38.06983506482103;145.34528492156346;Viewgrand Drive;2018;Between 50km/h and 60km/h;W;2018-06-23;354853;5785145;MGA2020 zone 55;3806;58.6;1897;2182;2.51;17.87;929
-38.0694918599, 145.2434180095;"{""coordinates"": [145.2434180095, -38.0694918599], ""type"": ""Point""}";-38.06949185993096;145.24341800953866;Melington Drive;2018;Between 50km/h and 60km/h;W;2018-06-23;345917;5785019;MGA2020 zone 55;3975;55.7;1802;2272;7.63;13.47;930
-38.033761, 145.359676;"{""coordinates"": [145.359676, -38.033761], ""type"": ""Point""}";-38.03376099999641;145.35967599999773;Scotsgate Way;2024;Less than 30km/h;W;2024-07-23;356045;5789170;MGA2020 zone 55;3806;21.2;38;44;12.9;15.9;1523
-38.100308, 145.280313;"{""coordinates"": [145.280313, -38.100308], ""type"": ""Point""}";-38.1003079999962;145.2803129999972;Station Street;2024;Between 40km/h and 50km/h;W;2024-10-22;349216;5781660;MGA2020 zone 55;3977;47.1;1283;1718;5.5;12.3;1528
-38.052754, 145.356833;"{""coordinates"": [145.356833, -38.052754], ""type"": ""Point""}";-38.05275399999637;145.35683299999772;Sugarloaf Ln;2024;Less than 30km/h;W;2024-07-23;355833;5787058;MGA2020 zone 55;3806;17.2;2;2;12.5;50.0;1529
-37.979799, 145.324633;"{""coordinates"": [145.324633, -37.979799], ""type"": ""Point""}";-37.979798999996355;145.3246329999975;Tacaberry Ave;2024;Less than 30km/h;W;2024-07-23;352862;5795103;MGA2020 zone 55;3804;26.9;55;56;8.6;14.3;1531
-37.974907, 145.378103;"{""coordinates"": [145.378103, -37.974907], ""type"": ""Point""}";-37.97490699999647;145.37810299999782;Tangara Ln;2024;Less than 30km/h;W;2024-07-23;357549;5795729;MGA2020 zone 55;3804;19.3;12;12;5.8;16.7;1532
-38.0929148474, 145.2760409332;"{""coordinates"": [145.2760409332, -38.0929148474], ""type"": ""Point""}";-38.09291484742088;145.27604093324442;Clairmont Avenue;2019;Between 50km/h and 60km/h;W;2019-02-26;348827;5782473;MGA2020 zone 55;3977;53.9;436;559;4.11;11.63;1002
-38.1010154958, 145.2757459223;"{""coordinates"": [145.2757459223, -38.1010154958], ""type"": ""Point""}";-38.10101549584917;145.27574592234154;Duff Street;2018;Between 50km/h and 60km/h;W;2018-05-10;348817;5781574;MGA2020 zone 55;3977;52.0;2853;3506;4.22;9.78;1007
-38.1089368023, 145.2718923493;"{""coordinates"": [145.2718923493, -38.1089368023], ""type"": ""Point""}";-38.1089368022953;145.2718923493063;Fairbairn Road;2018;Between 50km/h and 60km/h;W;2018-08-16;348496;5780689;MGA2020 zone 55;3977;53.0;2493;2953;3.7;10.23;1008
-38.1082417659, 145.2720321929;"{""coordinates"": [145.2720321929, -38.1082417659], ""type"": ""Point""}";-38.10824176589148;145.27203219294702;Fairbairn Road;2018;Between 40km/h and 50km/h;W;2018-08-16;348507;5780766;MGA2020 zone 55;3977;43.0;2708;3212;3.4;10.15;1009
-38.1525051365, 145.3106011614;"{""coordinates"": [145.3106011614, -38.1525051365], ""type"": ""Point""}";-38.1525051364913;145.3106011613503;Facey Road;2022;Between 50km/h and 60km/h;W;2022-10-21;351978;5775917;MGA2020 zone 55;3977;53.1;113;138;18.36;12.5;1013
-37.9926111408, 145.2636401353;"{""coordinates"": [145.2636401353, -37.9926111408], ""type"": ""Point""}";-37.99261114075056;145.2636401353009;Preston Avenue;2022;Between 40km/h and 50km/h;W;2022-10-21;347531;5793583;MGA2020 zone 55;3802;49.2;278;373;9.88;10.1;1020
-38.0275711373, 145.3102081473;"{""coordinates"": [145.3102081473, -38.0275711373], ""type"": ""Point""}";-38.02757113728952;145.31020814732364;Stewart Avenue;2022;Between 40km/h and 50km/h;W;2022-10-21;351691;5789779;MGA2020 zone 55;3805;42.2;1007;1275;7.95;11.95;1028
-38.0817401331, 145.365354163;"{""coordinates"": [145.365354163, -38.0817401331], ""type"": ""Point""}";-38.08174013310072;145.3653541630212;Belcam Circuit;2022;Between 40km/h and 50km/h;W;2022-11-01;356637;5783855;MGA2020 zone 55;3978;41.8;162;206;9.99;9.67;1035
-38.1262971344, 145.342332164;"{""coordinates"": [145.342332164, -38.1262971344], ""type"": ""Point""}";-38.12629713443642;145.34233216398144;Creekside Street;2022;Between 50km/h and 60km/h;W;2022-10-21;354706;5778875;MGA2020 zone 55;3978;56.4;664;808;13.96;14.69;1044
-38.0734751338, 145.3564271605;"{""coordinates"": [145.3564271605, -38.0734751338], ""type"": ""Point""}";-38.07347513377652;145.35642716053343;Wurundjeri Boulevard;2023;Less than 30km/h;W;2023-02-07;355838;5784758;MGA2020 zone 55;3806;27.0;3553;4452;6.54;9.82;1055
-37.9740311412, 145.2584591323;"{""coordinates"": [145.2584591323, -37.9740311412], ""type"": ""Point""}";-37.97403114122594;145.25845913233348;Mossgiel Park Drive;2023;Between 40km/h and 50km/h;W;2023-02-07;347038;5795637;MGA2020 zone 55;3802;47.4;7195;9424;7.73;9.02;1075
-38.0668111365, 145.317716153;"{""coordinates"": [145.317716153, -38.0668111365], ""type"": ""Point""}";-38.066811136523135;145.3177161530157;Berwick Springs Promenade;2023;Between 40km/h and 50km/h;W;2023-02-07;352429;5785437;MGA2020 zone 55;3805;45.9;2797;3631;5.17;12.2;1102
-38.0490371383, 145.2939031469;"{""coordinates"": [145.2939031469, -38.0490371383], ""type"": ""Point""}";-38.04903713829412;145.29390314686748;Sneddon Drive;2023;Between 40km/h and 50km/h;W;2023-02-07;350304;5787371;MGA2020 zone 55;3805;45.4;1143;1344;9.06;23.34;1103
-38.0220781348, 145.3456451529;"{""coordinates"": [145.3456451529, -38.0220781348], ""type"": ""Point""}";-38.0220781348482;145.34564515289992;Harkaway Road;2023;More than 60km/h;W;2023-07-26;354791;5790445;MGA2020 zone 55;3806;68.8;12643;15098;6.09;10.63;1164
-38.029046141, 145.2572541382;"{""coordinates"": [145.2572541382, -38.029046141], ""type"": ""Point""}";-38.02904614096967;145.25725413823525;Bride Avenue;2023;Between 40km/h and 50km/h;W;2023-07-26;347046;5789530;MGA2020 zone 55;3976;46.5;916;1157;5.26;10.79;1197
-38.0158881368, 145.3184461475;"{""coordinates"": [145.3184461475, -38.0158881368], ""type"": ""Point""}";-38.01588813678677;145.3184461474594;Ryelands Drive;2023;Between 50km/h and 60km/h;W;2023-07-26;352391;5791089;MGA2020 zone 55;3805;52.2;1105;1314;1.99;10.37;1203
-38.0669541394, 145.2765441458;"{""coordinates"": [145.2765441458, -38.0669541394], ""type"": ""Point""}";-38.06695413939299;145.27654414582796;Glasscocks Road;2023;More than 60km/h;W;2023-08-02;348817;5785355;MGA2020 zone 55;3976;75.3;6619;8636;4.47;10.21;1209
-38.074765, 145.35474;"{""coordinates"": [145.35474, -38.074765], ""type"": ""Point""}";-38.074764999996354;145.35473999999766;Leisurewood Drive;2023;Between 40km/h and 50km/h;W;2023-10-22;355693;5784613;MGA2020 zone 55;3806;46.4;3424;4233;3.46;603.0;1218
-38.068992, 145.301352;"{""coordinates"": [145.301352, -38.068992], ""type"": ""Point""}";-38.068991999996236;145.30135199999737;The Strand;2024;Between 30km/h and 40km/h;W;2024-02-07;350998;5785169;MGA2020 zone 55;3805;37.0;254;296;4.07;46.0;1313
-38.145886, 145.292723;"{""coordinates"": [145.292723, -38.145886], ""type"": ""Point""}";-38.14588599999619;145.2927229999973;Craig Road;2024;More than 60km/h;W;2024-05-10;350398;5776622;MGA2020 zone 55;3977;79.0;5989;7260;6.6;727.0;1333
-38.129887, 145.230746;"{""coordinates"": [145.230746, -38.129887], ""type"": ""Point""}";-38.12988699999602;145.23074599999686;Feldale Lane;2024;Less than 30km/h;W;2024-05-10;344933;5778296;MGA2020 zone 55;3977;25.0;90;107;1.91;12.0;1340
-37.996492, 145.253926;"{""coordinates"": [145.253926, -37.996492], ""type"": ""Point""}";-37.996491999996145;145.253925999997;Moore Road;2024;Between 30km/h and 40km/h;W;2024-05-17;346686;5793137;MGA2020 zone 55;3803;34.5;257;332;6.1;30.0;1356
-38.105624, 145.247838;"{""coordinates"": [145.247838, -38.105624], ""type"": ""Point""}";-38.105623999996084;145.24783799999693;Tony Way;2024;Between 40km/h and 50km/h;W;2024-05-10;346380;5781017;MGA2020 zone 55;3977;43.0;561;653;3.12;212.0;1380
-38.159491, 145.310333;"{""coordinates"": [145.310333, -38.159491], ""type"": ""Point""}";-38.15949099999624;145.3103329999974;Finsbury Road;2024;More than 60km/h;W;2024-08-22;351968;5775141;MGA2020 zone 55;3977;72.1;744;860;12.86;12.59;1417
-38.035119, 145.366453;"{""coordinates"": [145.366453, -38.035119], ""type"": ""Point""}";-38.035118999996406;145.36645299999776;Allan St;2024;Between 30km/h and 40km/h;W;2024-07-23;356643;5789030;MGA2020 zone 55;3806;30.7;66;74;14.4;10.8;1457
-38.0298310138, 145.2722303239;"{""coordinates"": [145.2722303239, -38.0298310138], ""type"": ""Point""}";-38.02983101379868;145.2722303238539;Tarella Street;2018;Between 50km/h and 60km/h;W;2018-11-01;348362;5789467;MGA2020 zone 55;3976;51.0;0;1152;2.9;12.4;736
-38.0037826505, 145.2625726341;"{""coordinates"": [145.2625726341, -38.0037826505], ""type"": ""Point""}";-38.00378265054407;145.26257263412538;Alexander St;2018;Between 50km/h and 60km/h;W;2018-08-15;347461;5792342;MGA2020 zone 55;3803;54.0;688;827;6.6;12.09;747
-37.976084981, 145.2790867643;"{""coordinates"": [145.2790867643, -37.976084981], ""type"": ""Point""}";-37.97608498102402;145.27908676430897;Hallam North Road;2021;More than 60km/h;W;2021-03-17;348854;5795442;MGA2020 zone 55;3802;69.4;5989;7606;6.8;12.5;824
-38.0034387198, 145.3078531381;"{""coordinates"": [145.3078531381, -38.0034387198], ""type"": ""Point""}";-38.003438719827614;145.30785313806595;Tarcoola Drive;2021;Between 40km/h and 50km/h;W;2021-03-18;351436;5792453;MGA2020 zone 55;3805;46.9;303;393;2.8;10.1;844
-38.0669523976, 145.3303634466;"{""coordinates"": [145.3303634466, -38.0669523976], ""type"": ""Point""}";-38.066952397628064;145.33036344657927;Moondarra Drive;2021;Between 40km/h and 50km/h;W;2021-03-25;353539;5785441;MGA2020 zone 55;3806;49.8;997;1182;7.6;12.95;856
-38.0987411492, 145.2561431755;"{""coordinates"": [145.2561431755, -38.0987411492], ""type"": ""Point""}";-38.098741149224;145.25614317548207;Montrose Way;2021;Between 50km/h and 60km/h;W;2021-03-26;347094;5781794;MGA2020 zone 55;3977;53.5;713;963;2.1;8.99;857
-38.1324481102, 145.252625514;"{""coordinates"": [145.252625514, -38.1324481102], ""type"": ""Point""}";-38.132448110206376;145.25262551404677;Settlers Run;2018;Between 40km/h and 50km/h;W;2018-05-10;346856;5778048;MGA2020 zone 55;3977;42.7;2687;3319;5.85;8.86;941
-38.1191304866, 145.3021423842;"{""coordinates"": [145.3021423842, -38.1191304866], ""type"": ""Point""}";-38.119130486609386;145.3021423842072;Elmslie Drive;2018;Between 50km/h and 60km/h;W;2018-03-14;351169;5779607;MGA2020 zone 55;3977;58.1;2501;2998;4.8;18.61;946
-38.1215070758, 145.3327926001;"{""coordinates"": [145.3327926001, -38.1215070758], ""type"": ""Point""}";-38.12150707578685;145.33279260012065;Pump House Crescent;2020;Between 40km/h and 50km/h;W;2020-02-13;353861;5779392;MGA2020 zone 55;3978;41.4;581;809;3.04;7.91;953
-38.0121159275, 145.290914873;"{""coordinates"": [145.290914873, -38.0121159275], ""type"": ""Point""}";-38.01211592746558;145.29091487298342;Tinks Road;2019;More than 60km/h;W;2019-02-14;349966;5791463;MGA2020 zone 55;3805;60.0;3727;9144;6.0;9.96;966
-38.0084978517, 145.289612591;"{""coordinates"": [145.289612591, -38.0084978517], ""type"": ""Point""}";-38.00849785170194;145.28961259101638;Tomasetti Crescent;2019;Between 30km/h and 40km/h;W;2019-09-02;349844;5791863;MGA2020 zone 55;3805;37.6;114;156;1.3;10.56;967
-37.977001826, 145.3292019816;"{""coordinates"": [145.3292019816, -37.977001826], ""type"": ""Point""}";-37.97700182603262;145.32920198158897;Bailey Road;2018;More than 60km/h;W;2018-06-22;353257;5795421;MGA2020 zone 55;3804;64.2;324;409;10.78;9.78;641
-38.0224342328, 145.3345497191;"{""coordinates"": [145.3345497191, -38.0224342328], ""type"": ""Point""}";-38.022434232775026;145.33454971905797;Avebury Drive;2018;Between 50km/h and 60km/h;W;2018-06-23;353817;5790388;MGA2020 zone 55;3806;57.9;1636;2085;7.04;9.69;647
-38.004530517, 145.3138102374;"{""coordinates"": [145.3138102374, -38.004530517], ""type"": ""Point""}";-38.00453051697637;145.3138102374403;Murdoch Avenue;2018;Between 40km/h and 50km/h;W;2018-08-15;351961;5792342;MGA2020 zone 55;3805;45.0;679;824;1.9;19.05;652
-38.0621289439, 145.2593596081;"{""coordinates"": [145.2593596081, -38.0621289439], ""type"": ""Point""}";-38.06212894385702;145.25935960810358;Lockwood Rise;2018;Between 50km/h and 60km/h;W;2018-07-10;347300;5785862;MGA2020 zone 55;3975;52.0;270;353;4.2;10.2;664
-38.0510907351, 145.2862306796;"{""coordinates"": [145.2862306796, -38.0510907351], ""type"": ""Point""}";-38.05109073513368;145.28623067961306;Ormond Road Narre Warren South;2019;Between 50km/h and 60km/h;W;2019-11-12;349635;5787131;MGA2020 zone 55;3805;52.1;9593;13010;3.63;9.81;667
-38.0648413761, 145.2956943616;"{""coordinates"": [145.2956943616, -38.0648413761], ""type"": ""Point""}";-38.06484137611045;145.29569436164354;Ormond Road Narre Warren South;2019;Between 50km/h and 60km/h;W;2019-11-12;350493;5785620;MGA2020 zone 55;3805;59.9;8033;10537;4.53;8.54;671
-38.1489548693, 145.2452078827;"{""coordinates"": [145.2452078827, -38.1489548693], ""type"": ""Point""}";-38.14895486928885;145.2452078826957;Pearcedale Road;2018;More than 60km/h;W;2018-09-12;346240;5776204;MGA2020 zone 55;3977;70.3;3820;4597;6.87;11.14;675
-38.0226613221, 145.3128098269;"{""coordinates"": [145.3128098269, -38.0226613221], ""type"": ""Point""}";-38.02266132209835;145.31280982692527;Victor Crescent;2019;Between 40km/h and 50km/h;W;2019-08-26;351910;5790328;MGA2020 zone 55;3805;47.1;5289;5768;3.6;12.46;682
-38.078323428, 145.2903725747;"{""coordinates"": [145.2903725747, -38.078323428], ""type"": ""Point""}";-38.07832342796182;145.2903725746839;Eliza Street;2019;Between 40km/h and 50km/h;W;2019-09-02;350054;5784116;MGA2020 zone 55;3977;46.2;465;601;1.5;10.8;689
-38.0616938043, 145.2442986557;"{""coordinates"": [145.2442986557, -38.0616938043], ""type"": ""Point""}";-38.06169380428033;145.24429865566614;Sunline Way;2019;Between 50km/h and 60km/h;W;2019-11-12;345977;5785886;MGA2020 zone 55;3975;51.3;617;710;2.17;27.46;922
-38.1597774406, 145.3030379354;"{""coordinates"": [145.3030379354, -38.1597774406], ""type"": ""Point""}";-38.15977744061806;145.30303793543828;Cross Road;2018;More than 60km/h;W;2018-05-10;351330;5775098;MGA2020 zone 55;3977;70.3;961;1066;10.06;20.92;987
-38.1020162, 145.2783756;"{""coordinates"": [145.2783756, -38.1020162], ""type"": ""Point""}";-38.10201619999616;145.27837559999716;Tucker Street;2024;Between 50km/h and 60km/h;W;2024-10-22;349050;5781467;MGA2020 zone 55;3977;52.4;1627;1917;5.4;10.6;1536
-38.1127791405, 145.2565011474;"{""coordinates"": [145.2565011474, -38.1127791405], ""type"": ""Point""}";-38.11277914050535;145.2565011474239;Snead Boulevard;2022;Between 50km/h and 60km/h;W;2022-10-21;347154;5780237;MGA2020 zone 55;3977;51.1;453;576;16.54;11.73;1022
-38.0284841373, 145.3100401474;"{""coordinates"": [145.3100401474, -38.0284841373], ""type"": ""Point""}";-38.02848413729563;145.3100401473961;Stewart Avenue;2022;Between 50km/h and 60km/h;W;2022-10-21;351678;5789678;MGA2020 zone 55;3805;53.9;994;1296;10.27;10.46;1029
-37.9975711425, 145.2375521313;"{""coordinates"": [145.2375521313, -37.9975711425], ""type"": ""Point""}";-37.99757114253383;145.23755213129812;Power Road;2022;More than 60km/h;W;2022-10-21;345251;5792990;MGA2020 zone 55;3177;62.6;8033;10682;30.86;9.18;1032
-38.0819851381, 145.2933701504;"{""coordinates"": [145.2933701504, -38.0819851381], ""type"": ""Point""}";-38.08198513812788;145.29337015044905;Jessie Street;2022;Between 40km/h and 50km/h;W;2022-10-21;350324;5783714;MGA2020 zone 55;3977;43.7;1079;1342;9.61;13.91;1040
-38.0571381334, 145.3634111599;"{""coordinates"": [145.3634111599, -38.0571381334], ""type"": ""Point""}";-38.05713813338865;145.36341115992568;Earlsfield Drive;2022;Between 50km/h and 60km/h;W;2022-10-21;356419;5786582;MGA2020 zone 55;3806;53.6;5116;5559;22.43;9.26;1041
-38.0697341404, 145.2620641436;"{""coordinates"": [145.2620641436, -38.0697341404], ""type"": ""Point""}";-38.06973414038381;145.2620641436035;Andretti Avenue;2022;Between 30km/h and 40km/h;W;2022-11-01;347553;5785023;MGA2020 zone 55;3975;30.0;46;64;14.0;14.61;1048
-37.9989631384, 145.2966621418;"{""coordinates"": [145.2966621418, -37.9989631384], ""type"": ""Point""}";-37.99896313841119;145.29666214177047;Deanswood Way;2023;Between 40km/h and 50km/h;W;2023-02-18;350444;5792932;MGA2020 zone 55;3805;44.5;320;432;3.26;9.57;1098
-38.0971121409, 145.252667145;"{""coordinates"": [145.252667145, -38.0971121409], ""type"": ""Point""}";-38.09711214086862;145.25266714500657;Stanford Street;2023;Between 50km/h and 60km/h;W;2023-05-09;346786;5781969;MGA2020 zone 55;3977;54.8;330;432;14.01;10.35;1114
-38.1064331392, 145.27540315;"{""coordinates"": [145.27540315, -38.1064331392], ""type"": ""Point""}";-38.10643313922892;145.2754031500295;Cochrane Street;2023;Between 50km/h and 60km/h;W;2023-05-10;348799;5780972;MGA2020 zone 55;3977;54.2;185;229;16.69;13.03;1117
-38.124847137, 145.3051991573;"{""coordinates"": [145.3051991573, -38.124847137], ""type"": ""Point""}";-38.124847137038635;145.30519915730883;Lineham Drive;2023;More than 60km/h;W;2023-05-09;351448;5778977;MGA2020 zone 55;3977;62.5;2267;2861;22.98;12.27;1124
-38.0263841347, 145.3476421537;"{""coordinates"": [145.3476421537, -38.0263841347], ""type"": ""Point""}";-38.02638413468194;145.34764215372985;Harkaway Road;2023;More than 60km/h;W;2023-05-10;354974;5789970;MGA2020 zone 55;3806;69.8;11608;14349;34.07;9.99;1126
-38.050560136, 145.3260861527;"{""coordinates"": [145.3260861527, -38.050560136], ""type"": ""Point""}";-38.050560136039046;145.32608615266432;Tulk Street;2023;Between 30km/h and 40km/h;W;2023-07-26;353131;5787254;MGA2020 zone 55;3806;33.6;130;159;5.02;10.78;1159
-38.1111761352, 145.3321711605;"{""coordinates"": [145.3321711605, -38.1111761352], ""type"": ""Point""}";-38.111176135239845;145.3321711605072;Heather Grove;2023;Between 50km/h and 60km/h;W;2023-07-30;353785;5780537;MGA2020 zone 55;3978;56.9;6279;8308;6.28;8.56;1171
-38.072884, 145.309564;"{""coordinates"": [145.309564, -38.072884], ""type"": ""Point""}";-38.07288399999624;145.30956399999738;Nurture Avenue;2023;Between 40km/h and 50km/h;W;2023-10-22;351726;5784750;MGA2020 zone 55;3977;41.8;1018;1170;2.36;447.0;1237
