ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON;modified_weight_km
35182;3304;-38.1391196813;145.3685447625;-38.1445859755;145.3673961346;0.6160686980468761
35183;3304;-38.1445859755;145.3673961346;-38.1517933349;145.3658630925;0.8125566609055405
35184;3305;-37.9848325309;145.2718775406;-37.9848536599;145.2717479221;0.0116002926690881
35185;3305;-37.9848536599;145.2717479221;-37.9850112014;145.2707814363;0.0864960778032768
35186;3305;-37.9850112014;145.2707814363;-37.9851764042;145.2697678284;0.1043195517432408
35187;3305;-37.9851764042;145.2697678284;-37.9852946347;145.2690318426;0.0757024739607652
35188;3305;-37.9852946347;145.2690318426;-37.9853218827;145.2689091386;0.0128483670196133
35189;3305;-37.9853218827;145.2689091386;-37.9853515798;145.2688077753;0.010899008345482
35190;3305;-37.9853515798;145.2688077753;-37.9853918098;145.2686975938;0.0122385016477806
35191;3305;-37.9853918098;145.2686975938;-37.9854311444;145.2686085572;0.0093926555458564
35192;3305;-37.9854311444;145.2686085572;-37.9854752921;145.2685231933;0.0093954901917841
35193;3305;-37.9854752921;145.2685231933;-37.9855240979;145.2684418519;0.0094073923148578
35194;3305;-37.9855240979;145.2684418519;-37.9855771625;145.2683651596;0.0093910265612356
35195;3305;-37.9855771625;145.2683651596;-37.9856343883;145.268293262;0.0094028938285293
35196;3305;-37.9856343883;145.268293262;-37.9856954405;145.268226569;0.0094061509291275
35197;3305;-37.9856954405;145.268226569;-37.9857600213;145.2681654201;0.0094083355000346
35198;3305;-37.9857600213;145.2681654201;-37.9858278235;145.2681101129;0.0094111242181763
35199;3305;-37.9858278235;145.2681101129;-37.9858985127;145.2680609034;0.0094139649301781
35200;3305;-37.9858985127;145.2680609034;-37.9859717468;145.2680180548;0.0094157823276916
35201;3305;-37.9859717468;145.2680180548;-37.9860471636;145.2679817498;0.0094177430138912
35202;3305;-37.9860471636;145.2679817498;-37.9861244036;145.2679521881;0.0094194885985819
35203;3305;-37.9861244036;145.2679521881;-37.9862030795;145.2679294974;0.0094201058650158
35204;3305;-37.9862030795;145.2679294974;-37.9862828207;145.2679137877;0.0094217232814549
35205;3305;-37.9862828207;145.2679137877;-37.9863430914;145.2679066248;0.0070676888457502
35206;3305;-37.9863430914;145.2679066248;-37.9864237688;145.2679033259;0.0094243538433859
35207;3305;-37.9864237688;145.2679033259;-37.9867776457;145.2679125519;0.0413255033321873
35208;3305;-37.9867776457;145.2679125519;-37.9876663758;145.2679357368;0.1037853229934197
35209;3305;-37.9876663758;145.2679357368;-37.9876663772;145.2679357368;1.6345624752056588e-07
35210;3305;-37.9876663772;145.2679357368;-37.9878083043;145.2679394394;0.0165741544699094
35211;3306;-37.9976853563;145.2558006625;-37.9978464056;145.2553672944;0.0482825080115389
35212;3306;-37.9978464056;145.2553672944;-37.997884982;145.2552634882;0.011565250782997
35213;3307;-38.1265558521;145.3312066057;-38.1265724221;145.3313437427;0.0127430498126049
35214;3307;-38.1265724221;145.3313437427;-38.1265722141;145.3313420216;0.0001599288658545
35215;3307;-38.1265722141;145.3313420216;-38.1266566878;145.3320411685;0.0649660615603725
35216;3307;-38.1266566878;145.3320411685;-38.1267545364;145.3328990874;0.0796192264478777
35217;3307;-38.1267545364;145.3328990874;-38.1268523762;145.333757019;0.079620128873549
35218;3307;-38.1268523762;145.333757019;-38.1269319004;145.3345279561;0.0714125099337309
35219;3307;-38.1269319004;145.3345279561;-38.1269412382;145.3346184838;0.0083856413947786
35220;3308;-38.1091697349;145.3030984586;-38.1092660904;145.3030799104;0.0124619121752867
35221;3308;-38.1092660904;145.3030799104;-38.1098868276;145.302960419;0.0802815933014686
35222;3308;-38.1098868276;145.302960419;-38.1097266076;145.3016271679;0.1357008096863551
35223;3308;-38.1097266076;145.3016271679;-38.1104035974;145.3014968326;0.0875571094217104
35224;3308;-38.1104035974;145.3014968326;-38.1109959352;145.3013827906;0.0766088600455648
35225;3308;-38.1109959352;145.3013827906;-38.1111070733;145.301435035;0.0151526518348366
35226;3308;-38.1111070733;145.301435035;-38.1111092447;145.3014531395;0.0016022572649181
35227;3308;-38.1111092447;145.3014531395;-38.1112203494;145.3023776304;0.0818216000973676
35228;3308;-38.1112203494;145.3023776304;-38.1113287295;145.3032795717;0.0798254967597535
35229;3308;-38.1113287295;145.3032795717;-38.1114343311;145.3041585171;0.0777898983156869
35230;3308;-38.1114343311;145.3041585171;-38.1115319813;145.3049711796;0.0719237252555258
35231;3308;-38.1115319813;145.3049711796;-38.1115458565;145.3050866555;0.0102200411129121
35232;3309;-38.0792426553;145.360408514;-38.0793113171;145.3603839343;0.0083287845773515
35233;3309;-38.0793113171;145.3603839343;-38.0793652462;145.3603646286;0.0065416855337744
35234;3309;-38.0793652462;145.3603646286;-38.0798444287;145.3602699897;0.0566188469498872
35235;3309;-38.0798444287;145.3602699897;-38.0798444201;145.3602699914;1.1129509526680705e-06
35236;3309;-38.0798444201;145.3602699914;-38.0799167792;145.3602557004;0.0093640073934047
35237;3310;-38.040173562;145.2814022912;-38.0402331727;145.2813347194;0.0088855822287379
35238;3310;-38.0402331727;145.2813347194;-38.0402406508;145.2813262427;0.0011146802619794
35239;3310;-38.0402406508;145.2813262427;-38.0405050822;145.2808389111;0.0518262452157773
35240;3310;-38.0405050822;145.2808389111;-38.0405492342;145.2807660452;0.0080512414071732
35241;3310;-38.0405492342;145.2807660452;-38.0408019497;145.2803916146;0.0431840478102266
35242;3311;-38.0101203453;145.2888799345;-38.0102040981;145.2888483699;0.0102005359999432
35243;3311;-38.0102040981;145.2888483699;-38.0102142623;145.2888445393;0.0012379304389891
35244;3311;-38.0102142623;145.2888445393;-38.0103108951;145.2888259053;0.0114118071034875
35245;3311;-38.0103108951;145.2888259053;-38.010408641;145.2888243;0.0114132459807416
35246;3311;-38.010408641;145.2888243;-38.0104815558;145.2888342921;0.008562622802972
35247;3311;-38.0104815558;145.2888342921;-38.0105295378;145.2888462388;0.0057089008673028
35248;3311;-38.0105295378;145.2888462388;-38.0105767531;145.2888623494;0.0057083477467238
35249;3311;-38.0105767531;145.2888623494;-38.0106456433;145.288894145;0.008558559346636
35250;3311;-38.0106456433;145.288894145;-38.0111041407;145.2891539447;0.0586243039892584
35251;3312;-38.0740238916;145.2884553896;-38.07401756;145.2884014021;0.0050168089169905
35252;3312;-38.07401756;145.2884014021;-38.0739709977;145.2880043841;0.0368930686385887
35253;3312;-38.0739709977;145.2880043841;-38.0748113119;145.2878428725;0.0992272864409982
35254;3312;-38.0748113119;145.2878428725;-38.0753511007;145.2877391188;0.0637402241228635
35255;3313;-38.0298811824;145.3595170288;-38.0299422793;145.3595363191;0.007000612141305
35256;3313;-38.0299422793;145.3595363191;-38.029990812;145.3595516426;0.0055609820338107
35257;3313;-38.029990812;145.3595516426;-38.0300667867;145.3595606394;0.0084846727177515
35258;3313;-38.0300667867;145.3595606394;-38.0301240652;145.3595554345;0.0063853730882662
35259;3313;-38.0301240652;145.3595554345;-38.0303571251;145.3595102232;0.0262158759544397
35260;3314;-38.0526348894;145.2507589122;-38.0526969574;145.2508685784;0.0124165745630874
35261;3314;-38.0526969574;145.2508685784;-38.0527541361;145.2509696063;0.0114385089235304
35262;3314;-38.0527541361;145.2509696063;-38.0529390091;145.2514114091;0.0459972650870258
35263;3314;-38.0529390091;145.2514114091;-38.0530058098;145.2515358948;0.0138497164565508
35264;3314;-38.0530058098;145.2515358948;-38.0530449496;145.2516088334;0.0081148128465392
35265;3315;-38.0776758406;145.2574095137;-38.0777468451;145.2573952743;0.0079931121270491
35266;3315;-38.0777468451;145.2573952743;-38.0794152427;145.2570606803;0.1878147831687353
35267;3315;-38.0794152427;145.2570606803;-38.0794732088;145.257049055;0.0065253596529025
35268;3316;-38.106108389;145.3477739371;-38.1061184598;145.3478642657;0.007982317611061
35269;3316;-38.1061184598;145.3478642657;-38.1061420054;145.3480754561;0.0186628402523669
35270;3316;-38.1061420054;145.3480754561;-38.1061904379;145.3481963403;0.0118689936338378
35271;3316;-38.1061904379;145.3481963403;-38.1084583424;145.3447881794;0.3905313846443909
35272;3316;-38.1084583424;145.3447881794;-38.1085288089;145.3447744929;0.0079264918543016
35273;3316;-38.1085288089;145.3447744929;-38.1091708211;145.3446497958;0.0722173629890994
35274;3316;-38.1091708211;145.3446497958;-38.109242658;145.3446358429;0.0080806438686725
35275;3317;-38.1165917008;145.2953322972;-38.1165988667;145.2954171824;0.0079989395607598
35276;3317;-38.1165988667;145.2954171824;-38.1166116605;145.2955687363;0.014281289571588
35277;3317;-38.1166116605;145.2955687363;-38.1165557388;145.2961027708;0.0504774178032128
35278;3317;-38.1165557388;145.2961027708;-38.1165540627;145.2961715746;0.0064496389803211
